commission,entryDt,entryID,entryPrice,exitDt,exitID,exitPrice,pnl,slippage,symbol,turnover,volume
34.009,2016-11-17 10:45:00,89,3392.2,2016-11-21 14:30:00,90,3409.6,129.9910000000009,10.0,IF88:CTP,68018.0,10
34.35,2016-11-22 10:45:00,91,3435.4,2016-11-22 11:00:00,92,3434.6,-52.35000000000182,10.0,IF88:CTP,68700.0,10
34.643,2016-11-23 10:15:00,93,3467.8,2016-11-23 11:15:00,94,3460.8,-114.643,10.0,IF88:CTP,69286.0,10
34.646,2016-11-23 13:00:00,95,3466.6,2016-11-23 13:15:00,96,3462.6,-84.646,10.0,IF88:CTP,69292.0,10
35.371,2016-11-28 09:30:00,97,3520.0,2016-11-29 11:15:00,98,3554.2,296.6289999999982,10.0,IF88:CTP,70742.0,10
35.459,2016-12-01 14:00:00,99,3559.8,2016-12-02 14:00:00,100,3532.0,-323.4590000000018,10.0,IF88:CTP,70918.0,10
34.295,2016-12-09 09:30:00,101,3459.2,2016-12-13 14:15:00,102,3399.8,549.7049999999964,10.0,IF88:CTP,68590.0,-10
33.246,2016-12-15 11:00:00,103,3331.2,2016-12-16 13:45:00,104,3318.0,88.75399999999817,10.0,IF88:CTP,66492.0,-10
32.894,2016-12-20 10:30:00,105,3270.2,2016-12-21 13:00:00,106,3308.6,-426.8940000000009,10.0,IF88:CTP,65788.0,-10
32.904,2016-12-22 13:45:00,107,3292.2,2016-12-26 14:45:00,108,3288.6,-6.904000000000913,10.0,IF88:CTP,65808.0,-10
32.896,2016-12-28 11:15:00,109,3276.2,2016-12-30 09:45:00,110,3303.0,-310.89600000000183,10.0,IF88:CTP,65792.0,-10
33.517,2017-01-09 11:15:00,111,3356.2,2017-01-11 10:45:00,112,3347.2,-133.517,10.0,IF88:CTP,67034.0,10
32.85,2017-01-16 14:30:00,113,3266.0,2017-01-17 10:00:00,114,3304.0,-422.85,10.0,IF88:CTP,65700.0,-10
33.32,2017-01-19 10:00:00,115,3319.2,2017-01-20 14:30:00,117,3344.8,-299.32000000000363,10.0,IF88:CTP,66640.0,-10
33.474000000000004,2017-01-20 14:30:00,118,3344.8,2017-01-24 10:15:00,119,3350.0,8.525999999998177,10.0,IF88:CTP,66948.0,10
33.59,2017-01-25 13:00:00,120,3364.6,2017-02-03 10:45:00,121,3353.4,-155.58999999999818,10.0,IF88:CTP,67180.0,10
33.714,2017-02-06 14:00:00,122,3354.6,2017-02-10 11:00:00,123,3388.2,292.2859999999991,10.0,IF88:CTP,67428.0,10
